Episode,Env,Steps,Reward
241,0,110,1.0
243,1,41,1.0
244,1,555,1.0
244,1,111,1.0
244,1,4,1.0
244,0,185,1.0
244,0,1,1.0
245,1,388,1.0
245,0,137,1.0
245,0,60,1.0
246,1,245,1.0
246,0,218,1.0
247,0,183,1.0
248,0,442,1.0
248,1,91,1.0
248,1,79,1.0
248,1,10,1.0
248,1,155,1.0
248,1,10,1.0
250,0,100,1.0
251,1,607,1.0
251,1,2,1.0
251,1,91,1.0
251,0,182,1.0
252,0,47,1.0
252,0,1,1.0
252,0,56,1.0
252,0,141,1.0
253,1,317,1.0
253,0,19,1.0
253,0,235,1.0
253,1,165,1.0
254,0,243,1.0
255,1,413,1.0
255,1,39,1.0
255,1,6,1.0
255,1,154,1.0
255,1,43,1.0
255,1,60,1.0
255,1,63,1.0
255,1,12,1.0
256,1,190,1.0
256,0,24,1.0
256,1,57,1.0
257,0,350,1.0
257,1,58,1.0
257,0,33,1.0
257,0,188,1.0
257,0,19,1.0
258,1,309,1.0
259,0,692,1.0
262,0,6,1.0
262,1,58,1.0
262,0,399,1.0
263,0,118,1.0
263,0,292,1.0
263,0,13,1.0
263,1,43,1.0
264,1,298,1.0
264,1,11,1.0
264,1,16,1.0
264,1,10,1.0
264,0,86,1.0
264,1,18,1.0
264,1,69,1.0
264,1,38,1.0
266,0,8,1.0
266,1,13,1.0
266,1,3,1.0
266,0,71,1.0
266,0,198,1.0
267,1,354,1.0
267,0,108,1.0
267,1,23,1.0
268,0,609,1.0
268,0,5,1.0
268,1,100,1.0
270,1,1,1.0
270,0,81,1.0
270,0,76,1.0
270,0,57,1.0
270,1,69,1.0
270,1,38,1.0
271,0,227,1.0
271,0,5,1.0
271,1,105,1.0
271,0,214,1.0
272,1,513,1.0
272,0,26,1.0
273,0,155,1.0
274,1,497,1.0
274,0,114,1.0
274,0,56,1.0
274,1,19,1.0
275,0,268,1.0
275,0,279,1.0
275,0,28,1.0
276,1,172,1.0
277,1,11,1.0
277,1,112,1.0
277,1,79,1.0
277,1,60,1.0
278,1,386,1.0
278,1,80,1.0
278,1,67,1.0
278,0,41,1.0
278,0,22,1.0
278,0,2,1.0
279,0,365,1.0
279,0,71,1.0
280,1,217,1.0
280,1,7,1.0
280,1,350,1.0
280,1,23,1.0
280,1,35,1.0
280,1,33,1.0
281,0,337,1.0
281,0,16,1.0
281,0,25,1.0
282,1,421,1.0
282,1,127,1.0
283,1,406,1.0
283,1,98,1.0
283,1,6,1.0
284,1,194,1.0
284,0,57,1.0
284,0,217,1.0
284,1,31,1.0
284,0,81,1.0
285,0,453,1.0
285,0,14,1.0
285,0,4,1.0
286,1,127,1.0
286,1,4,1.0
286,1,4,1.0
286,0,175,1.0
287,0,276,1.0
289,0,20,1.0
289,1,59,1.0
289,1,238,1.0
289,1,6,1.0
290,1,421,1.0
294,1,0,1.0
294,1,321,1.0
294,1,2,1.0
295,0,456,1.0
295,0,51,1.0
295,0,4,1.0
295,0,116,1.0
296,0,296,1.0
296,0,22,1.0
296,1,56,1.0
296,0,82,1.0
296,0,3,1.0
298,0,197,1.0
299,1,596,1.0
299,1,25,1.0
300,0,399,1.0
300,0,51,1.0
300,0,6,1.0
301,1,546,1.0
302,0,495,1.0
303,0,442,1.0
303,1,43,1.0
303,0,1,1.0
303,1,59,1.0
303,0,32,1.0
304,0,149,1.0
304,0,73,1.0
304,0,61,1.0
304,0,11,1.0
304,1,16,1.0
304,0,38,1.0
305,1,283,1.0
305,0,46,1.0
305,1,175,1.0
305,0,36,1.0
305,1,89,1.0
306,1,249,1.0
306,1,11,1.0
306,1,1,1.0
306,0,40,1.0
306,0,1,1.0
306,0,1,1.0
306,0,9,1.0
307,0,544,1.0
307,1,148,1.0
307,0,85,1.0
309,0,14,1.0
309,1,2,1.0
311,1,2,1.0
311,1,68,1.0
311,1,188,1.0
311,1,196,1.0
311,1,20,1.0
311,0,8,1.0
312,0,399,1.0
315,0,404,1.0
316,0,202,1.0
316,0,1,1.0
316,0,10,1.0
316,0,45,1.0
317,1,342,1.0
318,1,507,1.0
